time,huld
2018-03-31 00:00:00+00:00,1.0020199190451125
2018-04-30 00:00:00+00:00,0.871798718260392
2018-05-31 00:00:00+00:00,1.0149255724202482
2018-06-30 00:00:00+00:00,0.9957814453467241
2018-07-31 00:00:00+00:00,0.9947312668898426
2018-08-31 00:00:00+00:00,0.9899055829128871
2018-09-30 00:00:00+00:00,0.9982703243800468
2018-10-31 00:00:00+00:00,1.0355759751583464
2018-11-30 00:00:00+00:00,
2018-12-31 00:00:00+00:00,
2019-01-31 00:00:00+00:00,
2019-02-28 00:00:00+00:00,0.9996128495797838
2019-03-31 00:00:00+00:00,1.0381752529405577
2019-04-30 00:00:00+00:00,1.0041230682122215
2019-05-31 00:00:00+00:00,0.978889108360855
2019-06-30 00:00:00+00:00,0.9839606803271354
2019-07-31 00:00:00+00:00,0.9790079356732266
2019-08-31 00:00:00+00:00,0.9643282796815956
2019-09-30 00:00:00+00:00,0.9803811722730899
2019-10-31 00:00:00+00:00,0.9676190878839817
2019-11-30 00:00:00+00:00,
2019-12-31 00:00:00+00:00,
2020-01-31 00:00:00+00:00,
2020-02-29 00:00:00+00:00,0.9549201315236593
2020-03-31 00:00:00+00:00,0.9773362958077986
2020-04-30 00:00:00+00:00,0.9527584885378397
2020-05-31 00:00:00+00:00,0.9481884125278937
2020-06-30 00:00:00+00:00,0.9533007433972162
2020-07-31 00:00:00+00:00,0.9409457594542043
2020-08-31 00:00:00+00:00,0.945667380274388
2020-09-30 00:00:00+00:00,0.9437699542397742
