Description,POA_l,POA_u,CS,PvsG,day_only,Metric,Freq,Method,slope,intercept,PLR,uncertainty
PvsPOA_CS20_POA100_PRt_W,100,,CS20,1,0,PRt,W,YOY,,,-0.0088362134691839,0.0018256312271334
PvsPOA_POA500_PI_W,500,,,1,0,PI,W,YOY,,,-0.0070348888073327,0.0017783081917107
PvsPOA_POA100_P_W,100,,,1,0,P,W,YOY,,,-0.0208007317347668,0.0116306475069966
CS20_POA100_PR_W,100,,CS20,0,0,PR,W,YOY,,,-0.0103594639873247,0.0046728125640324
PvsPOA_CS20_POA800_P_W,800,,CS20,1,0,P,W,YOY,,,-0.0085737963892378,0.010245964935205
PvsPOA_POA800_PVUSA_W,800,,,1,0,PVUSA,W,YOY,,,-0.0058390878924141,0.0026533738622125
PvsPOA_POA0_PVUSA_W,0,,,1,0,PVUSA,W,YOY,,,-0.0119131783430145,0.0019543768581997
POA100_huld_W,100,,,0,0,huld,W,YOY,,,-0.0083215827890483,0.0052782190295885
POA0_PVUSA_W,0,,,0,0,PVUSA,W,YOY,,,-0.011875736263563,0.0067412748812343
PvsPOA_CS20_POA5_PRt_W,5,,CS20,1,0,PRt,W,YOY,,,-0.0075999504793686,0.0024162015985607
PvsPOA_POA0_P_W,0,,,1,0,P,W,YOY,,,-0.0149873871044971,0.0122174612093325
POA100_P_W,100,,,0,0,P,W,YOY,,,-0.0188592265076393,0.0136081287963692
POA50_PVUSA_W,50,,,0,0,PVUSA,W,YOY,,,-0.0109438184457969,0.0070612771170479
PvsPOA_POA200_PRt_W,200,,,1,0,PRt,W,YOY,,,-0.0091759189762516,0.0021482722939185
POA0_PRt_W,0,,,0,0,PRt,W,YOY,,,-0.0096281266437386,0.0028848286587594
CS20_POA50_PI_W,50,,CS20,0,0,PI,W,YOY,,,-0.0069498598093613,0.0031669490099595
CS20_POA200_PR_W,200,,CS20,0,0,PR,W,YOY,,,-0.0104184565197104,0.0042630607548428
PvsPOA_POA50_P_W,50,,,1,0,P,W,YOY,,,-0.0167196916762709,0.0182482057825895
POA200_PI_W,200,,,0,0,PI,W,YOY,,,-0.0083672052445116,0.0024321225454222
POA100_PVUSA_W,100,,,0,0,PVUSA,W,YOY,,,-0.0109314452605748,0.0072304261823227
PvsPOA_CS20_POA200_huld_W,200,,CS20,1,0,huld,W,YOY,,,-0.0074289835527579,0.0033521216433003
PvsPOA_POA800_PI_W,800,,,1,0,PI,W,YOY,,,-0.006340055292186,0.002842607363215
PvsPOA_CS20_POA500_P_W,500,,CS20,1,0,P,W,YOY,,,-0.0168241014217109,0.0131429615367776
PvsPOA_CS20_POA500_PRt_W,500,,CS20,1,0,PRt,W,YOY,,,-0.0067030997931796,0.0017899483683295
PvsPOA_POA500_PRt_W,500,,,1,0,PRt,W,YOY,,,-0.0071380964186634,0.0017506297868538
CS20_POA0_PR_W,0,,CS20,0,0,PR,W,YOY,,,-0.0105208431614055,0.0042866636318659
POA0_PR_W,0,,,0,0,PR,W,YOY,,,-0.0123978143111072,0.0057705662481868
CS20_POA20_P_W,20,,CS20,0,0,P,W,YOY,,,-0.0283812580725574,0.0155156922067272
CS20_POA5_PI_W,5,,CS20,0,0,PI,W,YOY,,,-0.0069738731712022,0.0036345498581138
PvsPOA_POA100_PVUSA_W,100,,,1,0,PVUSA,W,YOY,,,-0.0118373266127552,0.0021418804588986
CS20_POA20_PI_W,20,,CS20,0,0,PI,W,YOY,,,-0.0070893073660344,0.0035662774368116
POA50_PRt_W,50,,,0,0,PRt,W,YOY,,,-0.0100135425673019,0.0027560243870048
POA500_PRt_W,500,,,0,0,PRt,W,YOY,,,-0.0076800536595264,0.002296985079336
POA20_huld_W,20,,,0,0,huld,W,YOY,,,-0.0103202333668814,0.0053115269405179
PvsPOA_POA500_PVUSA_W,500,,,1,0,PVUSA,W,YOY,,,-0.0079277519267203,0.0026985271921697
PvsPOA_CS20_POA500_PI_W,500,,CS20,1,0,PI,W,YOY,,,-0.0066882636990508,0.0018337529624568
CS20_POA500_PI_W,500,,CS20,0,0,PI,W,YOY,,,-0.0070532433427569,0.0029419153687767
PvsPOA_CS20_POA200_PI_W,200,,CS20,1,0,PI,W,YOY,,,-0.0081414385947255,0.0016656887499148
POA20_PI_W,20,,,0,0,PI,W,YOY,,,-0.0101517293491774,0.0029769678401818
CS20_POA100_huld_W,100,,CS20,0,0,huld,W,YOY,,,-0.0096022367798735,0.004229459640472
PvsPOA_POA5_P_W,5,,,1,0,P,W,YOY,,,-0.0149307401996417,0.0122892997174892
CS20_POA5_PVUSA_W,5,,CS20,0,0,PVUSA,W,YOY,,,-0.0096485629235959,0.004986628207235
PvsPOA_CS20_POA500_PR_W,500,,CS20,1,0,PR,W,YOY,,,-0.008363188357366,0.0039071557576444
PvsPOA_CS20_POA5_PI_W,5,,CS20,1,0,PI,W,YOY,,,-0.007585173025928,0.0025139849462277
CS20_POA50_PR_W,50,,CS20,0,0,PR,W,YOY,,,-0.0097537056776391,0.004537411214849
