Description,POA_l,POA_u,CS,PvsG,day_only,Metric,Freq,Method,slope,intercept,PLR,uncertainty
PvsPOA_POA50_PRt_W,50,,,1,0,PRt,W,YOY,,,-0.0203619821052345,0.0079835485415959
PvsPOA_POA200_PVUSA_W,200,,,1,0,PVUSA,W,YOY,,,-0.0118236926527357,0.006515669493341
POA800_PI_W,800,,,0,0,PI,W,YOY,,,-0.0192058809362653,0.0274614061628069
CS20_POA200_huld_W,200,,CS20,0,0,huld,W,YOY,,,-0.0179649560117336,0.0094701339694046
CS20_POA20_huld_W,20,,CS20,0,0,huld,W,YOY,,,-0.0186538961377105,0.0100127509180104
PvsPOA_CS20_POA50_P_W,50,,CS20,1,0,P,W,YOY,,,-0.0227311245514697,0.021125279796734
PvsPOA_POA5_PVUSA_W,5,,,1,0,PVUSA,W,YOY,,,-0.0206112636710112,0.0110645009822279
POA50_huld_W,50,,,0,0,huld,W,YOY,,,-0.020145480684193,0.0121748624143574
PvsPOA_POA5_PR_W,5,,,1,0,PR,W,YOY,,,-0.0208198485991382,0.0086080718715235
PvsPOA_CS20_POA50_PRt_W,50,,CS20,1,0,PRt,W,YOY,,,-0.0124226779629278,0.0074504167243155
CS20_POA100_PRt_W,100,,CS20,0,0,PRt,W,YOY,,,-0.0124516464629263,0.010416316134589
PvsPOA_CS20_POA20_P_W,20,,CS20,1,0,P,W,YOY,,,-0.0258297571596109,0.0191611967318141
POA500_PVUSA_W,500,,,0,0,PVUSA,W,YOY,,,-0.010836916471106,0.0123561794224453
CS20_POA100_P_W,100,,CS20,0,0,P,W,YOY,,,-0.0188647680526795,0.0251239578357604
POA20_PRt_W,20,,,0,0,PRt,W,YOY,,,-0.0225833500170643,0.0096218814104393
POA100_PR_W,100,,,0,0,PR,W,YOY,,,-0.0136670333677225,0.008596490335593
POA500_PR_W,500,,,0,0,PR,W,YOY,,,-0.0115218983506256,0.015384853689497
CS20_POA800_PR_W,800,,CS20,0,0,PR,W,YOY,,,-0.0057012822750122,0.023082880719974
CS20_POA0_PVUSA_W,0,,CS20,0,0,PVUSA,W,YOY,,,-0.0133009395509395,0.0085713628006752
PvsPOA_POA200_PR_W,200,,,1,0,PR,W,YOY,,,-0.0102865736118224,0.0063681735022048
POA800_P_W,800,,,0,0,P,W,YOY,,,-0.0047919997629129,0.0332892045499179
PvsPOA_POA50_PR_W,50,,,1,0,PR,W,YOY,,,-0.018927396307737,0.0066318220366043
PvsPOA_CS20_POA50_PR_W,50,,CS20,1,0,PR,W,YOY,,,-0.0108013215733345,0.0059561053858291
POA800_PR_W,800,,,0,0,PR,W,YOY,,,-0.0204240825940977,0.0294646870093846
PvsPOA_POA5_PI_W,5,,,1,0,PI,W,YOY,,,-0.0209502068491316,0.0094028877601469
POA500_P_W,500,,,0,0,P,W,YOY,,,-0.0155058880700576,0.0156695542309804
CS20_POA200_P_W,200,,CS20,0,0,P,W,YOY,,,-0.0155302825963722,0.0214419236803311
POA20_P_W,20,,,0,0,P,W,YOY,,,-0.0279188316787349,0.0553455067211084
POA200_P_W,200,,,0,0,P,W,YOY,,,-0.0181577665947196,0.0383956356832601
CS20_POA100_PI_W,100,,CS20,0,0,PI,W,YOY,,,-0.0127387512726282,0.0108189724204996
POA5_PVUSA_W,5,,,0,0,PVUSA,W,YOY,,,-0.022956715279191,0.0157717649506108
CS20_POA800_PVUSA_W,800,,CS20,0,0,PVUSA,W,YOY,,,0.0012502194736203,0.0278165916387604
PvsPOA_POA0_PI_W,0,,,1,0,PI,W,YOY,,,-0.0209503241305081,0.0094011871801875
PvsPOA_CS20_POA50_huld_W,50,,CS20,1,0,huld,W,YOY,,,-0.0116710216208609,0.0054064368944605
PvsPOA_CS20_POA200_PR_W,200,,CS20,1,0,PR,W,YOY,,,-0.0081217353234715,0.0067110162860942
CS20_POA0_PI_W,0,,CS20,0,0,PI,W,YOY,,,-0.0150579904931574,0.0075124292521463
PvsPOA_POA200_P_W,200,,,1,0,P,W,YOY,,,-0.0152609459152118,0.0354107953306799
PvsPOA_POA20_huld_W,20,,,1,0,huld,W,YOY,,,-0.0199181893765123,0.015024008214313
CS20_POA200_PRt_W,200,,CS20,0,0,PRt,W,YOY,,,-0.0137406860721721,0.0106805657360431
POA100_PRt_W,100,,,0,0,PRt,W,YOY,,,-0.0167235033210075,0.0069661619206965
CS20_POA5_PRt_W,5,,CS20,0,0,PRt,W,YOY,,,-0.015502310988074,0.0075540055001199
PvsPOA_CS20_POA0_PI_W,0,,CS20,1,0,PI,W,YOY,,,-0.0105312225632269,0.0083278866630358
PvsPOA_POA100_PRt_W,100,,,1,0,PRt,W,YOY,,,-0.0175641762278472,0.0080835602354167
POA5_P_W,5,,,0,0,P,W,YOY,,,-0.026537726188927,0.0553656732537997
PvsPOA_CS20_POA20_PVUSA_W,20,,CS20,1,0,PVUSA,W,YOY,,,-0.0136377716642827,0.0053171857669347
PvsPOA_POA0_huld_W,0,,,1,0,huld,W,YOY,,,-0.0194014476315994,0.0119979727782329
PvsPOA_CS20_POA0_huld_W,0,,CS20,1,0,huld,W,YOY,,,-0.0153720700194572,0.0079591540152814
CS20_POA5_PR_W,5,,CS20,0,0,PR,W,YOY,,,-0.0128839456167503,0.008795927316352
CS20_POA0_P_W,0,,CS20,0,0,P,W,YOY,,,-0.0165126900467268,0.0229411754968031
CS20_POA800_P_W,800,,CS20,0,0,P,W,YOY,,,-0.0036653362194482,0.0292149081705715
CS20_POA500_PR_W,500,,CS20,0,0,PR,W,YOY,,,-0.0114157293845379,0.0097353218218708
PvsPOA_CS20_POA500_huld_W,500,,CS20,1,0,huld,W,YOY,,,-0.0113270646638947,0.0077234770891801
PvsPOA_POA100_PI_W,100,,,1,0,PI,W,YOY,,,-0.0173881368817023,0.0079037678852235
PvsPOA_CS20_POA0_P_W,0,,CS20,1,0,P,W,YOY,,,-0.0260483696454297,0.0190558194150179
PvsPOA_POA20_PRt_W,20,,,1,0,PRt,W,YOY,,,-0.023170577869261,0.0091522574585403
POA800_PVUSA_W,800,,,0,0,PVUSA,W,YOY,,,-0.0108115836937793,0.0319146386696643
CS20_POA800_huld_W,800,,CS20,0,0,huld,W,YOY,,,-0.0106482107362978,0.0192615016290762
CS20_POA20_PRt_W,20,,CS20,0,0,PRt,W,YOY,,,-0.0154888236297751,0.0076642499940414
PvsPOA_CS20_POA100_PRt_W,100,,CS20,1,0,PRt,W,YOY,,,-0.0121378014993796,0.0073312002050908
