Description,POA_l,POA_u,CS,PvsG,day_only,Metric,Freq,Method,slope,intercept,PLR,uncertainty
PvsPOA_POA50_PRt_W,50,,,1,0,PRt,W,YOY,,,-0.0185421856265826,0.0165610099738498
PvsPOA_POA200_PVUSA_W,200,,,1,0,PVUSA,W,YOY,,,-0.0142552874319636,0.003270097980602
POA800_PI_W,800,,,0,0,PI,W,YOY,,,-0.0111587072479114,0.0069236620818829
CS20_POA200_huld_W,200,,CS20,0,0,huld,W,YOY,,,-0.0150921780144107,0.0072533546914308
CS20_POA20_huld_W,20,,CS20,0,0,huld,W,YOY,,,-0.0165700406398413,0.0101617569068692
PvsPOA_CS20_POA50_P_W,50,,CS20,1,0,P,W,YOY,,,-0.0292422347312988,0.039681304625745
PvsPOA_POA5_PVUSA_W,5,,,1,0,PVUSA,W,YOY,,,-0.0236855017528379,0.0145235099400471
POA50_huld_W,50,,,0,0,huld,W,YOY,,,-0.0235565215590186,0.0097826448572935
PvsPOA_POA5_PR_W,5,,,1,0,PR,W,YOY,,,-0.0257651937618409,0.0147491006677684
PvsPOA_CS20_POA50_PRt_W,50,,CS20,1,0,PRt,W,YOY,,,-0.0162851641762931,0.0064119634361601
CS20_POA100_PRt_W,100,,CS20,0,0,PRt,W,YOY,,,-0.0134930464456666,0.0064930301561268
PvsPOA_CS20_POA20_P_W,20,,CS20,1,0,P,W,YOY,,,-0.0303457938435906,0.0383205169616041
POA500_PVUSA_W,500,,,0,0,PVUSA,W,YOY,,,-0.0126619319710127,0.0046308698117572
CS20_POA100_P_W,100,,CS20,0,0,P,W,YOY,,,-0.0248206541223346,0.028469072503221
POA20_PRt_W,20,,,0,0,PRt,W,YOY,,,-0.0205182302190929,0.0185510990111975
POA100_PR_W,100,,,0,0,PR,W,YOY,,,-0.0202511218840863,0.0057148575943435
POA500_PR_W,500,,,0,0,PR,W,YOY,,,-0.0160771656550487,0.003767165774605
CS20_POA800_PR_W,800,,CS20,0,0,PR,W,YOY,,,-0.0151032904248353,0.0053508455219937
CS20_POA0_PVUSA_W,0,,CS20,0,0,PVUSA,W,YOY,,,-0.0230391934072232,0.0051286706143633
PvsPOA_POA200_PR_W,200,,,1,0,PR,W,YOY,,,-0.0158609281171043,0.0033166293667333
POA800_P_W,800,,,0,0,P,W,YOY,,,-0.0150629456313151,0.012300690671183
PvsPOA_POA50_PR_W,50,,,1,0,PR,W,YOY,,,-0.024184885854027,0.0091450446538848
PvsPOA_CS20_POA50_PR_W,50,,CS20,1,0,PR,W,YOY,,,-0.0167883012815305,0.00500747497191
POA800_PR_W,800,,,0,0,PR,W,YOY,,,-0.0149497984233249,0.0032780144735166
PvsPOA_POA5_PI_W,5,,,1,0,PI,W,YOY,,,-0.0213684615581183,0.0190970144985178
POA500_P_W,500,,,0,0,P,W,YOY,,,-0.0176839205132661,0.0175422299502673
CS20_POA200_P_W,200,,CS20,0,0,P,W,YOY,,,-0.0250361727254409,0.0257657203552215
POA20_P_W,20,,,0,0,P,W,YOY,,,-0.0554068888615405,0.080561105292441
POA200_P_W,200,,,0,0,P,W,YOY,,,-0.0278804806686154,0.0353419511626672
CS20_POA100_PI_W,100,,CS20,0,0,PI,W,YOY,,,-0.0132486613773592,0.0068474585074941
POA5_PVUSA_W,5,,,0,0,PVUSA,W,YOY,,,-0.0255774849187331,0.0153745622487081
CS20_POA800_PVUSA_W,800,,CS20,0,0,PVUSA,W,YOY,,,-0.0121138760985711,0.003540724756904
PvsPOA_POA0_PI_W,0,,,1,0,PI,W,YOY,,,-0.0213067129133846,0.0190963700373539
PvsPOA_CS20_POA50_huld_W,50,,CS20,1,0,huld,W,YOY,,,-0.0145235392603912,0.0081046708831889
PvsPOA_CS20_POA200_PR_W,200,,CS20,1,0,PR,W,YOY,,,-0.0135043640985,0.0041503240316704
CS20_POA0_PI_W,0,,CS20,0,0,PI,W,YOY,,,-0.0164271626029053,0.006581156481951
PvsPOA_POA200_P_W,200,,,1,0,P,W,YOY,,,-0.0278923554079873,0.0365506823493464
PvsPOA_POA20_huld_W,20,,,1,0,huld,W,YOY,,,-0.0187211570071402,0.0130451488687664
CS20_POA200_PRt_W,200,,CS20,0,0,PRt,W,YOY,,,-0.0156070432572994,0.007561130343743
POA100_PRt_W,100,,,0,0,PRt,W,YOY,,,-0.0182312726974487,0.0091107984919432
