Description,POA_l,POA_u,CS,PvsG,day_only,Metric,Freq,Method,slope,intercept,PLR,uncertainty
PvsPOA_CS20_POA100_PRt_W,100,,CS20,1,0,PRt,W,YOY,,,-0.0389468593256814,0.0098651675522488
PvsPOA_POA500_PI_W,500,,,1,0,PI,W,YOY,,,-0.0316329276304682,0.0067805934627101
PvsPOA_POA100_P_W,100,,,1,0,P,W,YOY,,,-0.029930090004543,0.0399135498987696
CS20_POA100_PR_W,100,,CS20,0,0,PR,W,YOY,,,-0.0207455215267736,0.0198224877732783
PvsPOA_CS20_POA800_P_W,800,,CS20,1,0,P,W,YOY,,,-0.0287999666604712,0.0145239192520511
PvsPOA_POA800_PVUSA_W,800,,,1,0,PVUSA,W,YOY,,,-0.0281516352111117,0.0104059367327677
PvsPOA_POA0_PVUSA_W,0,,,1,0,PVUSA,W,YOY,,,-0.0270813253690611,0.0113472370606548
POA100_huld_W,100,,,0,0,huld,W,YOY,,,-0.0309185960864763,0.0062150626651681
POA0_PVUSA_W,0,,,0,0,PVUSA,W,YOY,,,-0.0304122337433848,0.0106316740622096
PvsPOA_CS20_POA5_PRt_W,5,,CS20,1,0,PRt,W,YOY,,,-0.0383705961093748,0.0094732272657101
PvsPOA_POA0_P_W,0,,,1,0,P,W,YOY,,,-0.0326006221321393,0.0434759283162191
POA100_P_W,100,,,0,0,P,W,YOY,,,-0.0230870735291843,0.035897131878732
POA50_PVUSA_W,50,,,0,0,PVUSA,W,YOY,,,-0.0295866021730829,0.0107238572241482
PvsPOA_POA200_PRt_W,200,,,1,0,PRt,W,YOY,,,-0.0368500430628938,0.0084038849950158
POA0_PRt_W,0,,,0,0,PRt,W,YOY,,,-0.0321990155145485,0.0086673869276946
CS20_POA50_PI_W,50,,CS20,0,0,PI,W,YOY,,,-0.0346573504476213,0.0116296004042068
CS20_POA200_PR_W,200,,CS20,0,0,PR,W,YOY,,,-0.0218044257549584,0.014125485095695
PvsPOA_POA50_P_W,50,,,1,0,P,W,YOY,,,-0.0280141521174952,0.0410253216394517
POA200_PI_W,200,,,0,0,PI,W,YOY,,,-0.0321975494973421,0.0097190636910518
POA100_PVUSA_W,100,,,0,0,PVUSA,W,YOY,,,-0.032354354697739,0.0091241392485215
PvsPOA_CS20_POA200_huld_W,200,,CS20,1,0,huld,W,YOY,,,-0.0345202485184785,0.0075650006291679
PvsPOA_POA800_PI_W,800,,,1,0,PI,W,YOY,,,-0.0305337372494515,0.0059686838134601
PvsPOA_CS20_POA500_P_W,500,,CS20,1,0,P,W,YOY,,,-0.021988440234706,0.014260858297348
PvsPOA_CS20_POA500_PRt_W,500,,CS20,1,0,PRt,W,YOY,,,-0.0319288871840968,0.0075359148477929
PvsPOA_POA500_PRt_W,500,,,1,0,PRt,W,YOY,,,-0.0315067915100293,0.0066470539553788
CS20_POA0_PR_W,0,,CS20,0,0,PR,W,YOY,,,-0.0170022225122888,0.0248213718843588
POA0_PR_W,0,,,0,0,PR,W,YOY,,,-0.0218781957407845,0.014697965987609
CS20_POA20_P_W,20,,CS20,0,0,P,W,YOY,,,-0.0401097053466138,0.0167325926276872
CS20_POA5_PI_W,5,,CS20,0,0,PI,W,YOY,,,-0.0337762154658849,0.0107724105412105
PvsPOA_POA100_PVUSA_W,100,,,1,0,PVUSA,W,YOY,,,-0.0295693911310797,0.0086378613411576
CS20_POA20_PI_W,20,,CS20,0,0,PI,W,YOY,,,-0.0337713482887597,0.0126339896830587
POA50_PRt_W,50,,,0,0,PRt,W,YOY,,,-0.0289165736690685,0.0071489449459908
POA500_PRt_W,500,,,0,0,PRt,W,YOY,,,-0.0343797161090727,0.0087188441316393
POA20_huld_W,20,,,0,0,huld,W,YOY,,,-0.0242476900311493,0.0096783230728858
PvsPOA_POA500_PVUSA_W,500,,,1,0,PVUSA,W,YOY,,,-0.0260417725680009,0.0048942104825433
PvsPOA_CS20_POA500_PI_W,500,,CS20,1,0,PI,W,YOY,,,-0.0320064101739713,0.007170055593763
CS20_POA500_PI_W,500,,CS20,0,0,PI,W,YOY,,,-0.0336730371748983,0.0096660659962265
PvsPOA_CS20_POA200_PI_W,200,,CS20,1,0,PI,W,YOY,,,-0.0333858737245081,0.0091342401070736
POA20_PI_W,20,,,0,0,PI,W,YOY,,,-0.0317892637053589,0.0080134992731228
CS20_POA100_huld_W,100,,CS20,0,0,huld,W,YOY,,,-0.0326403746547082,0.0136843605182884
PvsPOA_POA5_P_W,5,,,1,0,P,W,YOY,,,-0.0327567072248844,0.0438592472487704
CS20_POA5_PVUSA_W,5,,CS20,0,0,PVUSA,W,YOY,,,-0.0354068370842226,0.0150028975665408
PvsPOA_CS20_POA500_PR_W,500,,CS20,1,0,PR,W,YOY,,,-0.0226959987792043,0.0081330969568211
PvsPOA_CS20_POA5_PI_W,5,,CS20,1,0,PI,W,YOY,,,-0.0384782017723248,0.0089920804185687
CS20_POA50_PR_W,50,,CS20,0,0,PR,W,YOY,,,-0.0181856502419854,0.0260844629890513
POA0_PI_W,0,,,0,0,PI,W,YOY,,,-0.0331131065630848,0.0079798840849868
CS20_POA800_PRt_W,800,,CS20,0,0,PRt,W,YOY,,,-0.0316779343587047,0.0150651446571247
PvsPOA_CS20_POA100_PI_W,100,,CS20,1,0,PI,W,YOY,,,-0.0386426302621949,0.0093283847657175
PvsPOA_POA20_PVUSA_W,20,,,1,0,PVUSA,W,YOY,,,-0.0258459419895696,0.0130441812974102
PvsPOA_CS20_POA200_P_W,200,,CS20,1,0,P,W,YOY,,,-0.0448622375807029,0.0126246224195166
PvsPOA_POA20_P_W,20,,,1,0,P,W,YOY,,,-0.0331874183888705,0.0420670720003043
PvsPOA_CS20_POA0_PVUSA_W,0,,CS20,1,0,PVUSA,W,YOY,,,-0.0350627628458799,0.0099537877059689
PvsPOA_CS20_POA800_PVUSA_W,800,,CS20,1,0,PVUSA,W,YOY,,,-0.0311991624594377,0.0063090636884427
POA800_PRt_W,800,,,0,0,PRt,W,YOY,,,-0.0291725109529623,0.013924524629855
POA5_huld_W,5,,,0,0,huld,W,YOY,,,-0.0248480533975153,0.0093694332474968
POA5_PI_W,5,,,0,0,PI,W,YOY,,,-0.033117504614704,0.0079575713031054
CS20_POA100_PVUSA_W,100,,CS20,0,0,PVUSA,W,YOY,,,-0.0323920606602877,0.0155076484635191
PvsPOA_POA5_PRt_W,5,,,1,0,PRt,W,YOY,,,-0.0322368387584737,0.0065051581499711
PvsPOA_CS20_POA20_PI_W,20,,CS20,1,0,PI,W,YOY,,,-0.0384962631043076,0.0092175245445693
PvsPOA_CS20_POA20_PR_W,20,,CS20,1,0,PR,W,YOY,,,-0.027473279729365,0.0181759610410649
POA200_PVUSA_W,200,,,0,0,PVUSA,W,YOY,,,-0.03412861668196,0.0118573676543737
PvsPOA_POA0_PR_W,0,,,1,0,PR,W,YOY,,,-0.0211658873005376,0.0141128492001895
CS20_POA20_PR_W,20,,CS20,0,0,PR,W,YOY,,,-0.015912854446555,0.0251092683433522
PvsPOA_CS20_POA50_PVUSA_W,50,,CS20,1,0,PVUSA,W,YOY,,,-0.0344650089901412,0.0087088177467613
CS20_POA500_PRt_W,500,,CS20,0,0,PRt,W,YOY,,,-0.0335000471445428,0.009921081448501
PvsPOA_POA50_PVUSA_W,50,,,1,0,PVUSA,W,YOY,,,-0.0260214535695201,0.0115889832979906
PvsPOA_POA500_huld_W,500,,,1,0,huld,W,YOY,,,-0.0290260265136986,0.0060918732393141
POA200_PR_W,200,,,0,0,PR,W,YOY,,,-0.024434460623245,0.0094549900116624
PvsPOA_CS20_POA20_huld_W,20,,CS20,1,0,huld,W,YOY,,,-0.0377716401195269,0.0110103597939817
PvsPOA_POA200_huld_W,200,,,1,0,huld,W,YOY,,,-0.0289050507738262,0.0079634641058682
POA500_huld_W,500,,,0,0,huld,W,YOY,,,-0.0297543145414953,0.0081921774502391
CS20_POA800_PI_W,800,,CS20,0,0,PI,W,YOY,,,-0.0316491711011151,0.0166809735754429
CS20_POA500_PVUSA_W,500,,CS20,0,0,PVUSA,W,YOY,,,-0.0272057609095406,0.0070920634783824
POA50_PR_W,50,,,0,0,PR,W,YOY,,,-0.0236215834026388,0.0147476932912502
PvsPOA_POA100_huld_W,100,,,1,0,huld,W,YOY,,,-0.023878312335824,0.0082431948490219
POA20_PR_W,20,,,0,0,PR,W,YOY,,,-0.0211921583288763,0.0145022820108984
PvsPOA_CS20_POA200_PVUSA_W,200,,CS20,1,0,PVUSA,W,YOY,,,-0.0383151806589728,0.0072715321319765
PvsPOA_CS20_POA5_PR_W,5,,CS20,1,0,PR,W,YOY,,,-0.0268799532455896,0.0220558770262006
POA50_PI_W,50,,,0,0,PI,W,YOY,,,-0.029632429870955,0.0070234532867159
PvsPOA_CS20_POA100_PR_W,100,,CS20,1,0,PR,W,YOY,,,-0.0261423706687043,0.0220485463537617
POA100_PI_W,100,,,0,0,PI,W,YOY,,,-0.0300721763921876,0.0079419576334503
POA200_huld_W,200,,,0,0,huld,W,YOY,,,-0.0349094174460902,0.010754087671758
PvsPOA_POA800_PRt_W,800,,,1,0,PRt,W,YOY,,,-0.0301474123952202,0.0062043900599055
CS20_POA200_PVUSA_W,200,,CS20,0,0,PVUSA,W,YOY,,,-0.0325357889872034,0.0129086626668503
CS20_POA5_huld_W,5,,CS20,0,0,huld,W,YOY,,,-0.0324195631430798,0.0123198515160707
PvsPOA_CS20_POA100_huld_W,100,,CS20,1,0,huld,W,YOY,,,-0.0336280304466617,0.0094544622454681
PvsPOA_CS20_POA0_PRt_W,0,,CS20,1,0,PRt,W,YOY,,,-0.0383705961093748,0.0094732272657101
PvsPOA_CS20_POA5_PVUSA_W,5,,CS20,1,0,PVUSA,W,YOY,,,-0.0350627628458799,0.009834322550226
POA20_PVUSA_W,20,,,0,0,PVUSA,W,YOY,,,-0.029494360370456,0.0104165213769979
PvsPOA_POA50_huld_W,50,,,1,0,huld,W,YOY,,,-0.0220612133288319,0.0153030511021935
PvsPOA_POA800_P_W,800,,,1,0,P,W,YOY,,,-0.0269011225340501,0.0148716597062236
